upper,effects,lower,ate,z_values
1649.3737720286056,85.80895723855787,-1477.7558575514897,0.0,30.0
3773.3253659279317,2026.5285602628742,279.7317545978167,0.0,31.0
1732.7327100796674,327.05741527464227,-1078.6178795303827,0.0,32.0
2181.265224477284,750.0809366517665,-681.103351173751,0.0,33.0
272.6844974243804,-1046.6759892947657,-2366.036476013912,0.0,34.0
875.2555001734227,-183.7185855043781,-1242.6926711821789,0.0,35.0
1174.6144216208922,207.95098837177468,-758.7124448773429,0.0,36.0
1384.0583795678142,455.40141512292814,-473.2555493219579,0.0,37.0
1131.4581169899757,273.99619370379617,-583.4657295823833,0.0,38.0
1184.6217318533447,488.71793381145415,-207.18586423043644,0.0,39.0
1341.9861111071632,686.2198150718084,30.453519036453486,0.0,40.0
1227.4235931621608,591.94099558798,-43.54160198620093,0.0,41.0
512.1342014537803,-269.293499511607,-1050.7212004769945,0.0,42.0
475.10772844615303,-352.81127206910014,-1180.7302725843533,0.0,43.0
1111.2927405323962,150.52097234679366,-810.250795838809,0.0,44.0
1115.2374639424393,155.49482691595995,-804.2478101105195,0.0,45.0
1092.272702670764,-62.41961300902534,-1217.1119286888147,0.0,46.0
707.9172631175045,-501.7460889636377,-1711.40944104478,0.0,47.0
336.20021808733895,-1019.7157344134964,-2375.631686914332,0.0,48.0
145.77279392856462,-1244.8580123320692,-2635.488818592703,0.0,49.0
373.5664059664466,-1002.9906511823822,-2379.5477083312107,0.0,50.0
