sal_avg_lc2vs0_iate,olf_x0
-15864.205970432164,56.0
-23079.448995073464,85.0
-29980.72853019381,51.0
-24688.088857980358,54.0
-31388.18594660317,38.0
-20256.99488073739,28.0
-22349.181533099723,83.0
-26320.581606197768,52.0
-20451.587675426443,12.0
-29148.247761825245,39.0
-38144.07840543258,14.0
-34420.33433947744,71.0
-34014.21011732534,41.0
-25751.841320138214,51.0
-19017.88039845295,62.0
-37529.31505820887,17.0
-19002.558243310148,67.0
-35221.078551990446,1.0
-22080.24682744238,16.0
-40477.264354066545,31.0
-32631.5652657117,54.0
-19029.63783670187,40.0
-25133.888638097596,6.0
-35685.887295973145,56.0
-32132.181345698245,44.0
-35658.35592889748,47.0
-32906.85495893863,26.0
-20027.126965255997,59.0
-16803.655804456095,63.0
-37532.45800406932,15.0
-22628.976207526175,59.0
-34450.50266845961,38.0
-23602.634960387208,32.0
-30033.768250542795,57.0
-22920.06735976659,27.0
-31118.171474939565,33.0
-28262.53721753386,57.0
-31267.82038430414,21.0
-27346.60755211533,42.0
-27840.617332642338,18.0
-21286.919252975447,68.0
-35554.09421811897,30.0
-25175.513159132886,41.0
-29945.455455607786,30.0
-39743.946746744026,37.0
-28561.971265638414,26.0
-37970.6964729858,2.0
-20797.493768935372,75.0
-16587.56025767616,33.0
-32467.55191772751,40.0
-16797.45793660828,75.0
-36442.701887527655,37.0
-22117.836148699236,34.0
-31444.208516263105,71.0
-26732.55288146377,12.0
-22716.212583011722,75.0
-40530.33554337651,49.0
-22488.57718502459,33.0
-24790.52119555723,57.0
-30140.4015366195,71.0
-22918.0381762497,54.0
-19354.2682377322,35.0
-36142.39037368832,9.0
-20393.140922095776,24.0
-22293.437439738034,14.0
-31295.082571578605,81.0
-20101.57396774244,47.0
-19162.339039629576,31.0
-19787.295356166607,38.0
-22906.174107165858,44.0
-21052.519176178295,23.0
-38808.083536728314,26.0
-29810.166558622735,63.0
-22473.918470213834,41.0
-33507.6777368417,69.0
-31829.88030844733,55.0
-25237.679579268897,29.0
-23104.06811251522,7.0
-22081.196016998805,3.0
-37979.59917015616,9.0
-34995.76349042947,62.0
-35589.45086212165,38.0
-20697.77072366188,54.0
-32505.44856494393,69.0
-21932.254878575313,5.0
-23593.643836757004,54.0
-16964.10650257844,49.0
-40543.480172651165,28.0
-19312.65024649369,29.0
-27796.377875473594,33.0
-27500.613598387805,35.0
-24554.776336625433,57.0
-32520.850206108233,25.0
-16824.3416484617,47.0
-32587.980088671226,64.0
-33517.881293729515,14.0
-26051.360891609707,66.0
-23858.333984706318,24.0
-18213.954066905673,63.0
-25018.620571827207,57.0
-31973.254868333148,20.0
-35597.448588357314,57.0
-30801.491600067886,48.0
-18517.99639929902,54.0
-19336.999958295182,59.0
-35771.97619704387,71.0
-28047.425979226995,58.0
-26816.526757330066,65.0
-23052.68690393554,38.0
-41541.860191256535,14.0
-21184.673942052552,47.0
-31321.40901921955,38.0
-21758.202718630913,14.0
-28290.439951831286,28.0
-31379.82961711297,18.0
-17740.478161094485,69.0
-25219.908194808297,57.0
-22698.617762822665,75.0
-23497.426577564478,41.0
-36416.25610045083,82.0
-28089.385360127686,34.0
-32292.973612899194,27.0
-39394.277618404754,15.0
-27800.134995212575,34.0
-24117.97214953949,57.0
-24164.365092577507,58.0
-41387.434144411345,45.0
-22229.331040858433,28.0
-30129.403818756473,75.0
-23602.031188310528,43.0
-19842.367498940555,67.0
-29278.500201664614,23.0
-32732.504505267432,47.0
-19273.658504711166,75.0
-18726.105606477242,76.0
-27787.116077481278,47.0
-31757.031939499524,43.0
-36728.32676921324,58.0
-44654.11089912647,36.0
-18697.986172396817,42.0
-31167.304647128407,11.0
-19442.441566890473,15.0
-39858.75207249119,26.0
-25402.61090019598,5.0
-29231.153979537186,30.0
-28908.491158480218,23.0
-40519.35153550848,21.0
-19653.81535104702,11.0
-25598.366306086395,23.0
-18027.883660542495,43.0
-37025.31401092086,48.0
-18331.479572558477,54.0
-19665.172037170156,2.0
-42559.25047957989,35.0
-17812.705321016252,29.0
-24253.10511009582,45.0
-24088.141060390702,21.0
-29746.65807414698,26.0
-20911.549837833976,12.0
-21205.737461221564,83.0
-38413.41338272876,65.0
-30563.87614973414,62.0
-17554.9509269246,72.0
-34304.46579176466,14.0
-23598.64687781509,20.0
-37357.06098449345,63.0
-23786.07286480303,33.0
-37441.53275477267,7.0
-29253.647334505702,64.0
-25974.53942217343,82.0
-32316.80527833054,50.0
-21683.764758254474,22.0
-37214.43664300066,65.0
-34602.88070396159,46.0
-23168.017431625478,15.0
-21328.45391613416,53.0
-25073.88161590329,34.0
-30601.33798280394,40.0
-22358.930546578857,57.0
-34188.16782354881,6.0
-17291.565221853918,63.0
-25834.296744942858,46.0
-24794.078522268366,75.0
-18195.18159293482,70.0
-17328.86997338515,64.0
-36748.74001598495,23.0
-28816.127718355285,43.0
-19039.280325354077,76.0
-36592.665378802856,9.0
-37130.54561675689,27.0
-35748.54504375991,56.0
-32501.54779703864,17.0
-31887.030123000695,42.0
-25226.935692792173,15.0
-23638.719747154588,62.0
-38832.42820858671,62.0
-22084.45835536208,21.0
-21570.77928100913,58.0
-31469.93285184954,24.0
-16926.357318548322,49.0
-23083.903104272493,60.0
-37431.29219190116,57.0
-24142.751975698622,13.0
-16690.67322528664,38.0
-21969.360259825906,32.0
-28995.06476366699,31.0
-23057.162443222216,46.0
-26329.648204505524,22.0
-25869.66374554422,42.0
-22542.01186535376,11.0
-30503.054467971695,4.0
-26203.10556731477,32.0
-40877.11510656678,22.0
-27355.037119983746,27.0
-32674.86237774603,44.0
-33217.92480987256,22.0
-34690.533563177974,34.0
-31756.193663896724,4.0
-34319.58507517743,69.0
-34699.65862414087,60.0
-17477.277699699895,23.0
-31696.072052589036,20.0
-21364.054902770993,16.0
-21955.069615738226,5.0
-27557.185066960483,17.0
-28729.399092337357,14.0
-19361.13564400986,35.0
-32020.018217384135,22.0
-23840.055069581882,71.0
-20989.6723995314,52.0
-24357.04434394459,32.0
-26315.156063357783,46.0
-32904.38262366894,59.0
-28327.44830746739,42.0
-16741.062737124732,56.0
-34913.42439535759,23.0
-31324.465814273106,72.0
-24643.352065466468,43.0
-34167.82833060961,11.0
-26266.789805814446,14.0
-40553.43342052563,44.0
-39023.01614091757,33.0
-36567.2246080028,58.0
-23045.762129317052,40.0
-27610.43509671006,35.0
-25269.50389083322,39.0
-33901.52563773919,43.0
-35525.0903915421,71.0
-19869.85913209709,19.0
-43880.42596083478,54.0
-17493.643472272037,74.0
-26581.1086796325,37.0
-22466.613510130293,79.0
-35441.21780563553,33.0
-32655.39258897854,19.0
-37242.50323138517,54.0
-38585.44062505931,53.0
-19131.326591545007,21.0
-43380.470754980095,58.0
-32880.42518294083,45.0
-40802.24674226691,26.0
-38771.48167544647,21.0
-34235.08868136223,12.0
-30164.551624088344,37.0
-37257.14820319899,38.0
-34096.64847562289,67.0
-28572.0951926436,28.0
-20031.704229482773,54.0
-17498.706842812087,41.0
-28519.303670002693,39.0
-40461.72755278963,45.0
-22179.27617083556,21.0
-24200.790358936098,31.0
-33315.88489321414,24.0
-20152.96896509908,28.0
-23593.03357690076,45.0
-28760.50077887935,28.0
-19935.489083635875,56.0
-33934.29700068016,29.0
-23567.84862945768,84.0
-23697.814544547284,60.0
-24488.30029777404,20.0
-20015.435117656016,42.0
-23286.965548322052,10.0
-32805.474930274606,52.0
-31607.855194685333,36.0
-34124.521260430665,11.0
-23723.76176099517,28.0
-23422.412450932483,39.0
-25040.277629889293,49.0
-33284.63070269166,59.0
-20922.17392635704,43.0
-37974.994194530955,39.0
-22996.786836439438,16.0
-25194.309862873713,19.0
-26495.608471545682,30.0
-18967.243459742313,46.0
-32906.52791241366,45.0
-15595.923276975822,62.0
-26006.708949388456,60.0
-19949.88646185769,6.0
-24149.701223659205,78.0
-28827.05722709356,26.0
-37558.16132703054,39.0
-23615.794395418707,85.0
-22903.99275995343,60.0
-23971.32061310987,54.0
-34951.024234676224,67.0
-24856.34655788912,54.0
-30712.495340904294,26.0
-22083.471784304882,64.0
-16280.555911134583,16.0
-38690.19302361862,28.0
-24820.84939391016,26.0
-22265.500856434457,48.0
-39643.53726013872,30.0
-32386.71273936421,15.0
-18149.42113489645,43.0
-34614.62013870834,12.0
-22935.569703250032,50.0
-31917.765575666464,40.0
-17131.56329754962,45.0
-36592.81123959896,53.0
-17667.16735614381,9.0
-27048.6478713322,51.0
-28336.851488953493,8.0
-24592.20760826658,80.0
-19188.704671069718,58.0
-25142.454828780523,33.0
-21452.20174168603,39.0
-15914.020896727838,47.0
-27092.73638242851,51.0
-36393.784425947335,7.0
-34847.00440868997,24.0
-26545.55701991854,67.0
-23739.775301909787,29.0
-22342.753090209582,27.0
