sal_7_lc2vs0_iate,lmp_cw
-14966.329336529681,3.0
-22973.602023819152,3.0
-31733.93188014781,2.0
-23784.020122548165,4.0
-29944.323968146433,3.0
-20681.806688880657,4.0
-23681.351490448036,3.0
-28546.654518830936,3.0
-20567.674996668593,4.0
-29338.50146850353,3.0
-37211.550804234736,2.0
-35369.19554149172,3.0
-34309.532825619885,3.0
-27423.338946637326,4.0
-18961.885957543196,4.0
-39463.14024115179,3.0
-20679.679856243343,2.0
-36166.90878704943,3.0
-22080.32337065613,1.0
-39338.87674069799,1.0
-29044.748833477326,1.0
-19700.84510706944,4.0
-24795.94758937326,4.0
-34194.25163903,3.0
-28948.978051128724,4.0
-33628.75533818538,4.0
-33294.852698752,3.0
-20025.783157884176,1.0
-17856.08070918322,4.0
-38585.88319015798,3.0
-22370.934548846293,3.0
-32039.2368437174,1.0
-24069.211810925477,1.0
-29842.934248331112,4.0
-22161.38284003367,2.0
-33219.19196148271,4.0
-27760.289556460644,3.0
-31177.093761748212,4.0
-27350.894723285004,2.0
-28034.107661718932,4.0
-20359.972304553197,4.0
-34541.64112295194,4.0
-26754.036650084316,3.0
-30874.663846205203,1.0
-34585.75660814259,3.0
-26927.58953247995,1.0
-36652.213425502196,1.0
-18285.372275478203,2.0
-17442.544103720593,4.0
-30463.191571068164,1.0
-16657.90181681644,4.0
-32040.6074986109,4.0
-21197.906450893322,4.0
-32588.12277359507,1.0
-26578.006107730056,1.0
-23218.005625506295,1.0
-39704.43348292499,1.0
-21271.17073435334,3.0
-25465.912919121572,4.0
-28596.26025118721,3.0
-22665.93137924984,1.0
-21066.55732084836,1.0
-35013.121792810496,4.0
-20064.88736712063,4.0
-20857.614476816023,4.0
-33108.92692225515,1.0
-20517.03108645285,3.0
-19197.08046076174,1.0
-20729.766060986592,4.0
-23107.121601894825,3.0
-19453.21552995719,1.0
-38084.04054120039,4.0
-29529.329986213503,2.0
-22484.351455840544,4.0
-30675.55461081333,3.0
-33363.28145670936,1.0
-25448.749172298056,4.0
-22894.359495292672,4.0
-22553.387281012347,2.0
-37491.15928986399,2.0
-36149.867270031405,2.0
-34209.304842846796,3.0
-19436.212252643218,1.0
-32619.86597012952,1.0
-21750.97084995176,3.0
-25916.046887157143,3.0
-17426.60891168377,2.0
-40688.684498072354,4.0
-18648.703599400906,3.0
-25881.035990991557,1.0
-27806.112891375404,1.0
-24455.246137663096,4.0
-33500.4284907447,4.0
-16460.58965374005,1.0
-32954.136652416535,2.0
-33500.045306037784,1.0
-24841.555114345305,1.0
-21723.17705283657,4.0
-19175.07905338329,1.0
-23429.35912283482,1.0
-32975.936669674076,1.0
-35549.58043522652,1.0
-27275.276467468335,3.0
-16713.97226740796,3.0
-21442.54551592349,1.0
-35493.14957629333,1.0
-28361.471609547,2.0
-27977.76197152158,2.0
-22310.867776206764,1.0
-41703.02195663632,3.0
-18115.556212351963,2.0
-30520.841696688767,4.0
-22383.30489932528,2.0
-27391.03871601239,2.0
-30482.184444501094,4.0
-16140.944506896283,1.0
-24948.25791868457,1.0
-22170.734026822094,4.0
-24077.454657327566,3.0
-35865.34185290223,4.0
-29533.165375587152,2.0
-32106.90496359721,4.0
-40909.76090863926,3.0
-27685.895276604446,1.0
-23729.4557662354,4.0
-23408.018002277036,1.0
-40090.45493256463,2.0
-22923.627666203443,2.0
-30238.98803412025,4.0
-23214.087183439384,1.0
-20489.144207420122,3.0
-29595.85554923718,4.0
-34370.52345497785,4.0
-18714.107478368234,3.0
-20530.438727294222,4.0
-25291.195962350273,3.0
-32740.912321432406,3.0
-37066.47654072732,1.0
-44567.8969345635,3.0
-18244.624484849424,3.0
-29991.896742142584,4.0
-20591.640044699834,3.0
-38885.27217075933,2.0
-24391.68739630691,3.0
-29050.04409237623,2.0
-27389.279705702298,3.0
-38279.4343273129,2.0
-16973.613515319856,3.0
-25230.462323912754,4.0
-17530.980417495946,3.0
-34167.0660636239,3.0
-16334.838565505768,4.0
-18837.1337218309,1.0
-40116.30681955657,4.0
-15598.965284308353,4.0
-24033.74170325663,4.0
-23473.727984680623,4.0
-30610.176604277585,4.0
-21040.86132942253,3.0
-22128.023700334743,2.0
-38094.18123398469,4.0
-31359.66012065794,2.0
-16062.319616247727,2.0
-33346.167313692495,4.0
-24345.793142543585,2.0
-36546.225775705505,3.0
-23489.561316862848,3.0
-34146.69431385973,1.0
-28027.235368934005,4.0
-28387.908101881247,1.0
-30684.36761082874,1.0
-23672.386630141278,3.0
-37790.0012301261,3.0
-35955.089558193125,4.0
-19818.894868938405,1.0
-21708.130395705604,4.0
-23657.493000771166,1.0
-30543.463947714266,2.0
-22027.350877081444,3.0
-34491.718005754956,4.0
-15977.254627848164,4.0
-26320.37182235696,3.0
-25758.480335442582,4.0
-17049.729777952667,2.0
-17197.949674858442,3.0
-32433.41826973958,4.0
-30123.16606438526,4.0
-18377.977678973097,2.0
-36408.46427327824,4.0
-35138.081173569444,2.0
-34227.562858182355,3.0
-33918.138071682784,1.0
-32775.05570983637,4.0
-25051.71961719871,2.0
-23304.81575938245,3.0
-39404.44282792874,4.0
-22146.539334307032,4.0
-23183.31493016401,1.0
-29617.396717868527,4.0
-17096.978430666717,3.0
-23235.066145616427,3.0
-33141.43049844985,3.0
-22556.921283655367,3.0
-16322.550066771453,1.0
-21963.315217973934,3.0
-28790.523851664588,1.0
-21963.729193889165,2.0
-26094.915729027547,1.0
-25293.41962387418,4.0
-21506.78740651257,1.0
-29781.669050599106,4.0
-25262.800635096315,4.0
-39743.648011213474,1.0
-27212.47592479506,3.0
-31674.27662373559,4.0
-35205.116235506954,1.0
-34397.76876360676,2.0
-31220.76316882113,3.0
-33027.15997923037,4.0
-34945.86802995137,4.0
-19049.107190811075,4.0
-32117.350889936635,3.0
-19170.92622978521,4.0
-21912.70523440684,3.0
-27374.22816647769,2.0
-27200.462110929977,1.0
-18544.909525667124,1.0
-32189.163145898376,2.0
-22852.096577941003,1.0
-18586.87030423103,2.0
-21853.413883297297,1.0
-26627.66476455266,3.0
-31251.30822206154,3.0
-31707.90999119224,2.0
-16111.16207917891,3.0
-35098.933224852975,2.0
-28672.802309139544,2.0
-23907.205164017494,4.0
-34174.7108525041,1.0
-27478.168880064797,3.0
-37087.20879292311,2.0
-40119.71742691354,3.0
-36310.68023241551,2.0
-22688.836064295385,4.0
-29385.63746481293,4.0
-24219.93453420772,1.0
-32460.519085166237,2.0
-33719.992470388956,4.0
-18601.68875147444,1.0
-43210.30053668612,4.0
-17418.518548837383,2.0
-28312.91474340868,2.0
-20520.934576178603,4.0
-34497.30473056112,3.0
-32789.976455788084,1.0
-33027.232555069655,4.0
-37312.986059461095,4.0
-19092.58172848977,4.0
-41855.05878547112,1.0
-33080.814736741326,3.0
-41288.3358313195,1.0
-38585.9631231281,3.0
-34891.82015516868,3.0
-30761.583945815128,3.0
-35673.780965748214,4.0
-34314.1600338887,3.0
-29010.54664503801,3.0
-19538.752094545373,4.0
-16518.55647387504,1.0
-30366.202618470412,4.0
-39845.92515439754,3.0
-20429.758555593566,2.0
-22337.522358349317,4.0
-33193.19943207831,3.0
-19944.496906373446,1.0
-22415.353493826038,3.0
-28429.440151478833,4.0
-20420.393076669512,1.0
-35361.00834401361,4.0
-22985.30121290733,1.0
