grid,density
-25575.15911540522,1.4684033973972828e-08
-25545.92711696207,1.7384835298395318e-08
-25516.69511851892,2.005299854034747e-08
-25487.46312007577,2.268852369982954e-08
-25458.23112163262,2.5291410776840964e-08
-25428.99912318947,2.786165977138201e-08
-25399.767124746322,3.0399270683452694e-08
-25370.53512630317,3.2904243513053325e-08
-25341.30312786002,3.537657826018328e-08
-25312.071129416872,3.7816274924842883e-08
-25282.839130973724,4.022333350703213e-08
-25253.60713253057,4.4200480296947126e-08
-25224.375134087422,4.9395898494813634e-08
-25195.143135644274,5.5011039597353295e-08
-25165.911137201125,6.294222438713077e-08
-25136.679138757972,7.077549492949808e-08
-25107.447140314824,7.851085122445334e-08
-25078.215141871675,8.614829327199749e-08
-25048.983143428526,9.520217442704192e-08
-25019.751144985374,1.0549842859094212e-07
-24990.519146542225,1.1566413042495961e-07
-24961.287148099076,1.2569927992909562e-07
-24932.055149655927,1.3560387710335017e-07
-24902.823151212775,1.4537792194772452e-07
-24873.591152769626,1.5502141446221623e-07
-24844.359154326477,1.645343546468264e-07
-24815.12715588333,1.739167425015552e-07
-24785.89515744018,1.8316857802640251e-07
-24756.663158997027,1.9228986122136953e-07
-24727.43116055388,2.0170616474306813e-07
-24698.19916211073,2.1480094051603305e-07
-24668.96716366758,2.320930505045549e-07
-24639.73516522443,2.491566939157863e-07
-24610.50316678128,2.659918707497231e-07
-24581.27116833813,2.825985810063674e-07
-24552.039169894982,2.9897682468571914e-07
-24522.80717145183,3.1512660178778024e-07
-24493.57517300868,3.3168848056322235e-07
-24464.343174565533,3.50245881493584e-07
-24435.111176122384,3.712969241004196e-07
-24405.87917767923,3.9504444062841854e-07
-24376.647179236083,4.184655763317109e-07
-24347.415180792934,4.423985512924969e-07
-24318.183182349785,4.688922552088439e-07
-24288.951183906633,4.984902065270091e-07
-24259.719185463484,5.290874675292218e-07
-24230.487187020335,5.592604334593198e-07
-24201.255188577186,5.890091043173034e-07
-24172.023190134038,6.183334801031724e-07
-24142.791191690885,6.480258928741298e-07
-24113.559193247736,6.793645156195005e-07
-24084.327194804588,7.102462052102862e-07
-24055.09519636144,7.406709616464865e-07
-24025.863197918286,7.706387849281059e-07
-23996.631199475138,8.001496750551362e-07
-23967.39920103199,8.292036320275815e-07
-23938.16720258884,8.578006558454417e-07
-23908.935204145688,8.86484601825971e-07
-23879.70320570254,9.186782388274956e-07
-23850.47120725939,9.529925149907089e-07
-23821.23920881624,9.910236876938208e-07
-23792.00721037309,1.0285551037732946e-06
-23762.77521192994,1.0680440062702107e-06
-23733.54321348679,1.1115070516688303e-06
-23704.311215043643,1.1557815166487591e-06
-23675.07921660049,1.2011272781855249e-06
-23645.84721815734,1.2497546344746358e-06
-23616.615219714193,1.3030814203114102e-06
-23587.383221271044,1.3577003022037328e-06
-23558.151222827895,1.4145098270263967e-06
-23528.919224384743,1.4742255720188717e-06
-23499.687225941594,1.5345373802028737e-06
-23470.455227498445,1.5953241714034288e-06
-23441.223229055293,1.6587796590353712e-06
-23411.991230612144,1.7233309085952176e-06
-23382.759232168995,1.7868703775984832e-06
-23353.527233725847,1.8493980660451672e-06
-23324.295235282698,1.910913973935269e-06
-23295.063236839545,1.971532513358201e-06
-23265.831238396397,2.036639330939299e-06
-23236.599239953248,2.10079839866802e-06
-23207.3672415101,2.166749546560889e-06
-23178.135243066947,2.2315936982652053e-06
-23148.903244623798,2.2953281551655196e-06
-23119.67124618065,2.3601926754081497e-06
-23090.4392477375,2.4274259707044157e-06
-23061.207249294348,2.493484295031758e-06
-23031.9752508512,2.5601650716602763e-06
-23002.74325240805,2.6278807983457854e-06
-22973.5112539649,2.6989635183120134e-06
-22944.279255521753,2.7693037818750104e-06
-22915.0472570786,2.840706535915415e-06
-22885.81525863545,2.913673693249298e-06
-22856.583260192303,2.985304589084464e-06
-22827.35126174915,3.0564328864494113e-06
-22798.119263306,3.1299006791827125e-06
-22768.887264862853,3.203199887980869e-06
-22739.655266419704,3.275207914733188e-06
-22710.423267976556,3.3502136592219076e-06
-22681.191269533403,3.4249936326131388e-06
-22651.959271090254,3.4983048922931937e-06
-22622.727272647106,3.5701474382620824e-06
-22593.495274203957,3.6405212705198055e-06
-22564.263275760804,3.7120386411258815e-06
-22535.031277317656,3.782317178023141e-06
-22505.799278874507,3.8510943631267655e-06
-22476.567280431358,3.918370196436754e-06
-22447.335281988206,3.984144677953113e-06
-22418.103283545057,4.048417807675827e-06
-22388.871285101908,4.111594433086112e-06
-22359.63928665876,4.180503310191935e-06
-22330.40728821561,4.251668224922963e-06
-22301.17528977246,4.321201235530478e-06
-22271.94329132931,4.390883379164127e-06
-22242.71129288616,4.462876028950452e-06
-22213.47929444301,4.533171498448328e-06
-22184.24729599986,4.601769787657737e-06
-22155.01529755671,4.6686708965786855e-06
-22125.783299113562,4.734924013048932e-06
-22096.551300670413,4.801290685308573e-06
-22067.31930222726,4.867715354711993e-06
-22038.087303784112,4.938898119942828e-06
-22008.855305340963,5.011448057314013e-06
-21979.623306897814,5.084631247120198e-06
-21950.391308454662,5.161392547305816e-06
-21921.159310011513,5.236858100860459e-06
-21891.927311568365,5.312930645448035e-06
-21862.695313125216,5.387322297495385e-06
-21833.463314682063,5.459723026512052e-06
-21804.231316238915,5.5301761753974665e-06
-21774.999317795766,5.601466373506988e-06
-21745.767319352617,5.671461922206802e-06
-21716.535320909465,5.74156855403643e-06
-21687.303322466316,5.8106009398232085e-06
-21658.071324023167,5.8794558600196255e-06
-21628.83932558002,5.9462219429379375e-06
-21599.607327136866,6.010899188578155e-06
-21570.375328693717,6.075009962857194e-06
-21541.14333025057,6.141235913375752e-06
-21511.91133180742,6.205307750451268e-06
-21482.67933336427,6.2683098175222484e-06
-21453.44733492112,6.330932952672476e-06
-21424.21533647797,6.3913693362971875e-06
-21394.98333803482,6.449618968396382e-06
-21365.75133959167,6.505681848970067e-06
-21336.51934114852,6.55955797801823e-06
-21307.28734270537,6.611456392423972e-06
-21278.055344262222,6.6676816380822615e-06
-21248.823345819073,6.72651174523248e-06
-21219.59134737592,6.789750799372524e-06
-21190.359348932772,6.852377258870382e-06
-21161.127350489623,6.915036818088686e-06
