sal_7_lc2vs0_iate,olf_x0
-14966.329336529681,56.0
-22973.602023819152,85.0
-31733.93188014781,51.0
-23784.020122548165,54.0
-29944.323968146433,38.0
-20681.806688880657,28.0
-23681.351490448036,83.0
-28546.654518830936,52.0
-20567.674996668593,12.0
-29338.50146850353,39.0
-37211.550804234736,14.0
-35369.19554149172,71.0
-34309.532825619885,41.0
-27423.338946637326,51.0
-18961.885957543196,62.0
-39463.14024115179,17.0
-20679.679856243343,67.0
-36166.90878704943,1.0
-22080.32337065613,16.0
-39338.87674069799,31.0
-29044.748833477326,54.0
-19700.84510706944,40.0
-24795.94758937326,6.0
-34194.25163903,56.0
-28948.978051128724,44.0
-33628.75533818538,47.0
-33294.852698752,26.0
-20025.783157884176,59.0
-17856.08070918322,63.0
-38585.88319015798,15.0
-22370.934548846293,59.0
-32039.2368437174,38.0
-24069.211810925477,32.0
-29842.934248331112,57.0
-22161.38284003367,27.0
-33219.19196148271,33.0
-27760.289556460644,57.0
-31177.093761748212,21.0
-27350.894723285004,42.0
-28034.107661718932,18.0
-20359.972304553197,68.0
-34541.64112295194,30.0
-26754.036650084316,41.0
-30874.663846205203,30.0
-34585.75660814259,37.0
-26927.58953247995,26.0
-36652.213425502196,2.0
-18285.372275478203,75.0
-17442.544103720593,33.0
-30463.191571068164,40.0
-16657.90181681644,75.0
-32040.6074986109,37.0
-21197.906450893322,34.0
-32588.12277359507,71.0
-26578.006107730056,12.0
-23218.005625506295,75.0
-39704.43348292499,49.0
-21271.17073435334,33.0
-25465.912919121572,57.0
-28596.26025118721,71.0
-22665.93137924984,54.0
-21066.55732084836,35.0
-35013.121792810496,9.0
-20064.88736712063,24.0
-20857.614476816023,14.0
-33108.92692225515,81.0
-20517.03108645285,47.0
-19197.08046076174,31.0
-20729.766060986592,38.0
-23107.121601894825,44.0
-19453.21552995719,23.0
-38084.04054120039,26.0
-29529.329986213503,63.0
-22484.351455840544,41.0
-30675.55461081333,69.0
-33363.28145670936,55.0
-25448.749172298056,29.0
-22894.359495292672,7.0
-22553.387281012347,3.0
-37491.15928986399,9.0
-36149.867270031405,62.0
-34209.304842846796,38.0
-19436.212252643218,54.0
-32619.86597012952,69.0
-21750.97084995176,5.0
-25916.046887157143,54.0
-17426.60891168377,49.0
-40688.684498072354,28.0
-18648.703599400906,29.0
-25881.035990991557,33.0
-27806.112891375404,35.0
-24455.246137663096,57.0
-33500.4284907447,25.0
-16460.58965374005,47.0
-32954.136652416535,64.0
-33500.045306037784,14.0
-24841.555114345305,66.0
-21723.17705283657,24.0
-19175.07905338329,63.0
-23429.35912283482,57.0
-32975.936669674076,20.0
-35549.58043522652,57.0
-27275.276467468335,48.0
-16713.97226740796,54.0
-21442.54551592349,59.0
-35493.14957629333,71.0
-28361.471609547,58.0
-27977.76197152158,65.0
-22310.867776206764,38.0
-41703.02195663632,14.0
-18115.556212351963,47.0
-30520.841696688767,38.0
-22383.30489932528,14.0
-27391.03871601239,28.0
-30482.184444501094,18.0
-16140.944506896283,69.0
-24948.25791868457,57.0
-22170.734026822094,75.0
-24077.454657327566,41.0
-35865.34185290223,82.0
-29533.165375587152,34.0
-32106.90496359721,27.0
-40909.76090863926,15.0
-27685.895276604446,34.0
-23729.4557662354,57.0
-23408.018002277036,58.0
-40090.45493256463,45.0
-22923.627666203443,28.0
-30238.98803412025,75.0
-23214.087183439384,43.0
-20489.144207420122,67.0
-29595.85554923718,23.0
-34370.52345497785,47.0
-18714.107478368234,75.0
-20530.438727294222,76.0
-25291.195962350273,47.0
-32740.912321432406,43.0
-37066.47654072732,58.0
-44567.8969345635,36.0
-18244.624484849424,42.0
-29991.896742142584,11.0
-20591.640044699834,15.0
-38885.27217075933,26.0
-24391.68739630691,5.0
-29050.04409237623,30.0
-27389.279705702298,23.0
-38279.4343273129,21.0
-16973.613515319856,11.0
-25230.462323912754,23.0
-17530.980417495946,43.0
-34167.0660636239,48.0
-16334.838565505768,54.0
-18837.1337218309,2.0
-40116.30681955657,35.0
-15598.965284308353,29.0
-24033.74170325663,45.0
-23473.727984680623,21.0
-30610.176604277585,26.0
-21040.86132942253,12.0
-22128.023700334743,83.0
-38094.18123398469,65.0
-31359.66012065794,62.0
-16062.319616247727,72.0
-33346.167313692495,14.0
-24345.793142543585,20.0
-36546.225775705505,63.0
-23489.561316862848,33.0
-34146.69431385973,7.0
-28027.235368934005,64.0
-28387.908101881247,82.0
-30684.36761082874,50.0
-23672.386630141278,22.0
-37790.0012301261,65.0
-35955.089558193125,46.0
-19818.894868938405,15.0
-21708.130395705604,53.0
-23657.493000771166,34.0
-30543.463947714266,40.0
-22027.350877081444,57.0
-34491.718005754956,6.0
-15977.254627848164,63.0
-26320.37182235696,46.0
-25758.480335442582,75.0
-17049.729777952667,70.0
-17197.949674858442,64.0
-32433.41826973958,23.0
-30123.16606438526,43.0
-18377.977678973097,76.0
-36408.46427327824,9.0
-35138.081173569444,27.0
-34227.562858182355,56.0
-33918.138071682784,17.0
-32775.05570983637,42.0
-25051.71961719871,15.0
-23304.81575938245,62.0
-39404.44282792874,62.0
-22146.539334307032,21.0
-23183.31493016401,58.0
-29617.396717868527,24.0
-17096.978430666717,49.0
-23235.066145616427,60.0
-33141.43049844985,57.0
-22556.921283655367,13.0
-16322.550066771453,38.0
-21963.315217973934,32.0
-28790.523851664588,31.0
-21963.729193889165,46.0
-26094.915729027547,22.0
-25293.41962387418,42.0
-21506.78740651257,11.0
-29781.669050599106,4.0
-25262.800635096315,32.0
-39743.648011213474,22.0
