sal_avg_lc2vs0_iate,age
-15864.205970432164,34.0
-23079.448995073464,44.0
-29980.72853019381,42.0
-24688.088857980358,47.0
-31388.18594660317,46.0
-20256.994880737388,48.0
-22349.181533099723,37.0
-26320.581606197768,44.0
-20451.587675426446,45.0
-29148.24776182525,35.0
-38144.07840543258,34.0
-34420.334339477435,46.0
-34014.21011732534,49.0
-25751.841320138214,49.0
-19017.88039845295,47.0
-37529.31505820887,46.0
-19002.55824331015,38.0
-35221.07855199044,41.0
-22080.24682744238,48.0
-40477.264354066545,30.0
-32631.565265711703,35.0
-19029.637836701862,42.0
-25133.888638097596,40.0
-35685.88729597315,38.0
-32132.181345698245,46.0
-35658.35592889748,45.0
-32906.85495893863,34.0
-20027.126965255993,34.0
-16803.655804456095,40.0
-37532.458004069325,37.0
-22628.976207526182,47.0
-34450.50266845961,33.0
-23602.634960387208,41.0
-30033.768250542795,48.0
-22920.06735976659,40.0
-31118.17147493957,46.0
-28262.537217533867,45.0
-31267.820384304137,41.0
-27346.60755211533,37.0
-27840.61733264234,49.0
-21286.919252975447,50.0
-35554.09421811896,38.0
-25175.513159132886,44.0
-29945.455455607786,43.0
-39743.946746744026,48.0
-28561.97126563842,36.0
-37970.6964729858,37.0
-20797.493768935372,41.0
-16587.56025767616,45.0
-32467.55191772751,36.0
-16797.45793660828,46.0
-36442.701887527655,50.0
-22117.836148699236,48.0
-31444.208516263105,40.0
-26732.55288146377,33.0
-22716.212583011722,31.0
-40530.33554337651,34.0
-22488.57718502459,39.0
-24790.52119555723,45.0
-30140.401536619498,36.0
-22918.038176249705,38.0
-19354.2682377322,33.0
-36142.39037368832,50.0
-20393.140922095776,45.0
-22293.437439738034,47.0
-31295.0825715786,45.0
-20101.573967742443,33.0
-19162.339039629573,31.0
-19787.295356166607,47.0
-22906.17410716586,43.0
-21052.5191761783,34.0
-38808.083536728314,35.0
-29810.166558622735,41.0
-22473.918470213834,40.0
-33507.677736841695,42.0
-31829.88030844733,42.0
-25237.679579268897,49.0
-23104.06811251522,46.0
-22081.196016998805,37.0
-37979.59917015616,31.0
-34995.76349042947,48.0
-35589.45086212165,32.0
-20697.770723661884,31.0
-32505.44856494393,41.0
-21932.254878575313,49.0
-23593.643836757004,49.0
-16964.106502578437,36.0
-40543.48017265117,44.0
-19312.65024649369,33.0
-27796.377875473594,32.0
-27500.613598387805,30.0
-24554.776336625437,47.0
-32520.850206108233,48.0
-16824.341648461697,45.0
-32587.980088671226,35.0
-33517.881293729515,32.0
-26051.360891609704,32.0
-23858.333984706318,46.0
-18213.954066905673,40.0
-25018.620571827203,31.0
-31973.254868333144,36.0
-35597.448588357314,34.0
-30801.49160006788,50.0
-18517.99639929902,41.0
-19336.999958295182,36.0
-35771.97619704387,35.0
-28047.425979226995,45.0
-26816.526757330066,40.0
-23052.686903935544,30.0
-41541.860191256535,47.0
-21184.673942052552,48.0
-31321.409019219547,46.0
-21758.202718630913,31.0
-28290.439951831286,40.0
-31379.829617112973,48.0
-17740.478161094485,31.0
-25219.908194808293,36.0
-22698.61776282266,39.0
-23497.426577564478,43.0
-36416.25610045083,36.0
-28089.38536012769,43.0
-32292.973612899194,36.0
-39394.277618404754,32.0
-27800.134995212567,30.0
-24117.97214953949,35.0
-24164.365092577507,34.0
-41387.434144411345,44.0
-22229.331040858433,49.0
-30129.403818756473,48.0
-23602.031188310528,46.0
-19842.367498940555,37.0
-29278.500201664618,37.0
-32732.504505267436,49.0
-19273.658504711166,34.0
-18726.105606477235,43.0
-27787.11607748128,35.0
-31757.031939499524,45.0
-36728.32676921324,42.0
-44654.11089912647,47.0
-18697.986172396817,43.0
-31167.30464712841,47.0
-19442.441566890473,42.0
-39858.75207249119,37.0
-25402.61090019598,35.0
-29231.153979537186,38.0
-28908.49115848022,39.0
-40519.35153550848,34.0
-19653.81535104702,31.0
-25598.36630608639,45.0
-18027.883660542495,46.0
-37025.31401092086,42.0
-18331.479572558477,41.0
-19665.17203717016,30.0
-42559.25047957989,49.0
-17812.705321016252,50.0
-24253.10511009582,33.0
-24088.1410603907,48.0
-29746.65807414698,45.0
-20911.549837833976,46.0
-21205.737461221564,47.0
-38413.41338272876,50.0
-30563.87614973414,36.0
-17554.950926924597,31.0
-34304.46579176466,43.0
-23598.646877815092,48.0
-37357.060984493444,33.0
-23786.07286480303,39.0
-37441.53275477267,31.0
-29253.647334505702,46.0
-25974.539422173435,44.0
-32316.80527833054,48.0
-21683.76475825447,35.0
-37214.43664300066,42.0
-34602.88070396159,45.0
-23168.017431625474,36.0
-21328.45391613416,50.0
-25073.881615903287,38.0
-30601.33798280394,35.0
-22358.930546578853,38.0
-34188.16782354881,48.0
-17291.56522185392,40.0
-25834.296744942858,46.0
-24794.078522268366,46.0
-18195.18159293482,32.0
-17328.869973385143,40.0
-36748.74001598495,44.0
-28816.127718355285,40.0
-19039.280325354077,50.0
-36592.66537880285,47.0
-37130.54561675689,39.0
-35748.54504375991,40.0
-32501.54779703864,35.0
-31887.030123000695,47.0
-25226.93569279217,40.0
-23638.719747154588,45.0
-38832.42820858671,50.0
-22084.45835536208,43.0
-21570.77928100913,38.0
-31469.93285184954,40.0
-16926.357318548322,44.0
-23083.903104272493,41.0
-37431.29219190116,50.0
-24142.751975698626,38.0
-16690.67322528664,32.0
-21969.360259825906,44.0
-28995.06476366699,43.0
-23057.162443222212,46.0
-26329.648204505524,30.0
-25869.66374554422,41.0
-22542.011865353765,36.0
-30503.054467971695,48.0
-26203.10556731477,50.0
-40877.115106566765,30.0
-27355.037119983746,39.0
-32674.862377746034,50.0
-33217.924809872566,34.0
-34690.533563177974,44.0
-31756.193663896724,40.0
-34319.58507517743,48.0
-34699.65862414087,47.0
-17477.277699699895,43.0
-31696.072052589032,47.0
-21364.05490277099,37.0
-21955.069615738226,34.0
-27557.185066960483,42.0
-28729.399092337353,33.0
-19361.135644009864,34.0
-32020.018217384135,37.0
-23840.055069581882,42.0
-20989.6723995314,38.0
-24357.04434394459,31.0
-26315.156063357783,35.0
-32904.38262366894,42.0
-28327.448307467395,48.0
-16741.062737124732,32.0
-34913.4243953576,47.0
-31324.465814273106,47.0
-24643.352065466468,49.0
-34167.82833060961,41.0
-26266.789805814442,41.0
-40553.43342052563,32.0
-39023.01614091757,44.0
-36567.2246080028,45.0
-23045.762129317056,42.0
-27610.435096710058,47.0
-25269.50389083322,34.0
-33901.52563773919,33.0
-35525.0903915421,46.0
-19869.85913209709,30.0
-43880.42596083478,50.0
-17493.643472272037,32.0
-26581.108679632496,34.0
-22466.61351013029,48.0
-35441.21780563553,42.0
-32655.39258897854,39.0
-37242.50323138517,48.0
-38585.44062505931,37.0
-19131.326591545007,44.0
-43380.470754980095,38.0
-32880.425182940824,47.0
-40802.24674226691,30.0
-38771.48167544647,31.0
-34235.088681362235,37.0
-30164.551624088344,43.0
-37257.14820319899,48.0
-34096.64847562288,35.0
-28572.0951926436,39.0
-20031.70422948277,49.0
-17498.706842812084,33.0
-28519.303670002693,50.0
-40461.72755278963,43.0
-22179.27617083556,39.0
-24200.790358936098,40.0
-33315.88489321414,41.0
-20152.968965099077,33.0
-23593.033576900758,42.0
-28760.50077887935,47.0
-19935.489083635875,36.0
-33934.29700068016,50.0
-23567.84862945768,32.0
-23697.814544547284,41.0
-24488.30029777404,42.0
-20015.435117656012,42.0
-23286.965548322052,31.0
-32805.474930274606,44.0
-31607.855194685333,38.0
-34124.521260430665,38.0
-23723.761760995167,33.0
-23422.412450932483,45.0
-25040.277629889293,50.0
-33284.63070269166,48.0
-20922.173926357038,45.0
-37974.994194530955,41.0
-22996.786836439438,40.0
-25194.30986287372,37.0
-26495.60847154568,43.0
-18967.243459742313,43.0
-32906.52791241365,42.0
-15595.923276975818,46.0
-26006.70894938846,40.0
-19949.88646185769,32.0
-24149.701223659205,39.0
-28827.05722709356,39.0
-37558.16132703054,49.0
-23615.794395418707,45.0
-22903.99275995343,43.0
-23971.32061310987,32.0
-34951.024234676224,50.0
-24856.34655788912,43.0
-30712.495340904294,44.0
-22083.471784304886,34.0
-16280.555911134583,47.0
-38690.193023618616,47.0
-24820.849393910165,40.0
-22265.50085643446,31.0
-39643.53726013872,43.0
-32386.712739364204,43.0
-18149.42113489645,42.0
-34614.62013870834,46.0
-22935.569703250032,34.0
-31917.765575666464,40.0
-17131.56329754962,31.0
-36592.81123959896,42.0
-17667.167356143807,41.0
-27048.647871332203,30.0
-28336.851488953493,48.0
-24592.20760826658,33.0
-19188.704671069718,40.0
-25142.454828780526,50.0
-21452.20174168603,31.0
-15914.020896727834,40.0
-27092.736382428513,44.0
-36393.784425947335,44.0
-34847.00440868997,35.0
-26545.55701991854,33.0
-23739.77530190979,32.0
-22342.753090209582,35.0
-21275.32834713556,50.0
-17776.011586303943,41.0
-32699.23994713073,42.0
-25787.331841825657,45.0
-21089.134052159174,49.0
-36801.13288991453,35.0
-35213.37167934694,48.0
-33118.468244608724,50.0
-29700.44781894699,40.0
-26215.04794754248,44.0
-31888.81380557554,45.0
-25475.70976819115,39.0
-24141.145470035866,35.0
-35775.20049015316,43.0
-18902.993821136508,45.0
-16498.13648158953,46.0
-31760.081319548142,49.0
-24126.41647285673,37.0
-25498.990501211236,35.0
-21843.888044807143,34.0
-27028.79672183872,36.0
-19560.943119344756,41.0
-25950.31117585249,41.0
-24903.76837979076,31.0
-40442.09411025612,45.0
-31096.71863844701,43.0
-33587.2382435644,31.0
-18177.856802325783,42.0
-23490.068973538324,47.0
-26609.487556364526,32.0
-35306.99695054395,40.0
-38560.36890862882,41.0
-25321.207258201546,36.0
-23043.524286845037,46.0
-18908.34259162932,41.0
-35490.4424064608,50.0
-37977.53488233023,45.0
-24447.743496203802,30.0
-23505.049209230132,39.0
-28725.56654503194,49.0
-36703.234259337114,45.0
-36384.350482469665,50.0
-25417.081983871296,43.0
-18544.258397917434,42.0
-24935.78975201024,39.0
-19358.18219457545,43.0
-16426.510832776697,44.0
-25996.72833180337,46.0
-36927.85309459378,48.0
-30611.639949824807,33.0
-25568.94558702049,42.0
-34975.042144173014,50.0
-18758.109270040353,38.0
-43304.848165847674,34.0
-36733.58645941966,49.0
-39748.17998963261,36.0
-30517.587392638077,35.0
-26544.745542719662,48.0
-18989.965225829106,35.0
-24818.528811764223,45.0
-22585.015880196923,31.0
-31550.863171574838,30.0
-17951.441319244936,33.0
-34144.85211126547,44.0
-27017.131212758766,48.0
-17043.06104528744,35.0
-34028.11580707253,30.0
-29824.88655264509,42.0
-21235.875460348274,36.0
-22176.502183178305,39.0
-15904.44685903991,47.0
-22958.127842095495,43.0
-18733.46404638364,49.0
-32207.338668108023,31.0
-36009.74527077329,34.0
-31639.333201395566,46.0
-25169.201853262282,47.0
-17778.667904258196,42.0
-25022.19849397331,39.0
-32416.170940516015,50.0
-29447.473777423453,36.0
-23264.264798890188,42.0
-35071.65277572242,44.0
-26695.41692793921,42.0
-38356.62936951933,46.0
-25771.744349390792,34.0
-18148.49067014993,48.0
-22333.40851996323,46.0
-23878.402465292398,37.0
-36709.10323187383,49.0
-19294.667248390626,38.0
-18540.288144167203,40.0
-27078.28149381694,30.0
-24037.370747841,35.0
-30892.279915720494,47.0
-20574.30290901512,33.0
-25201.827761626504,35.0
-27192.524957671867,41.0
-23949.49444181974,42.0
-35599.96907882358,37.0
-31764.019001848894,33.0
-29621.59405036147,33.0
-23284.37576883393,48.0
-31843.55922078922,49.0
-30769.20216643487,50.0
-32399.530318657944,39.0
-18372.518807606146,41.0
-33599.303275693834,45.0
-21705.979241546498,42.0
-34867.05946818067,32.0
-30283.455860642203,32.0
-43261.47993795763,42.0
-27860.107649001126,39.0
-25197.338633762043,50.0
-22823.397315127004,42.0
-17606.142662566857,47.0
-22109.89856912088,49.0
-17764.925590821793,35.0
-20662.413122158636,30.0
-23438.19845436619,38.0
-22656.497988404994,48.0
-38704.82620848698,33.0
-25440.85755852498,40.0
-21118.264241824643,38.0
-29144.521505761128,49.0
-18262.089882403656,30.0
-35929.8624384044,47.0
